#{"t_start": 1764086773.4055269, "env_id": "None"}
r,l,t
4.826532,19,36.216875
0.959132,42,36.352952
6.196553,12,36.357467
-24.294715,60,36.384441
5.820597,22,36.39442
-23.915569,60,36.525766
-22.535992,60,36.547813
3.540635,30,36.559353
-18.115183,60,36.726308
-12.932471,60,36.761943
4.57724,19,36.893058
-24.71061,60,36.922779
4.93004,26,36.932784
9.88,2,36.932784
1.217625,43,37.102017
1.854156,20,37.11502
-16.482802,60,37.136497
-20.865815,60,37.267411
-1.516995,29,37.278439
-3.214055,47,37.29701
-23.180152,60,37.432931
9.99,1,37.432931
-28.322458,60,37.456114
9.051365,6,37.458116
-25.5252,60,37.63027
-20.819444,60,37.649727
-17.900145,60,37.779346
-21.930366,60,37.803537
3.489508,27,37.812523
6.571696,16,37.818573
-10.940448,60,37.967072
-15.401029,60,37.990405
-29.026785,60,38.127488
-31.463072,60,38.147365
-0.190986,27,38.3783
7.934645,12,38.385869
-8.351187,54,38.404834
-21.96993,60,38.527992
-20.95456,60,38.55134
-26.378993,60,38.572385
-0.95749,40,38.686185
-20.899189,60,38.707201
-20.454448,60,38.851901
-17.746538,60,38.876554
4.17219,25,38.889118
-29.392943,60,39.139375
-18.432475,60,39.2853
8.060708,15,39.46181
-22.131398,60,39.608002
-21.45055,60,39.631709
-8.008932,53,39.781451
3.650947,29,39.925712
-22.659379,60,40.060256
-25.535903,60,40.276379
7.009075,13,40.281383
-20.230705,60,40.434159
-6.785638,57,40.556464
9.618579,4,40.558467
-21.652202,60,40.699763
-3.877915,42,40.717584
-20.400145,60,40.849178
-19.278335,60,40.975062
-28.275989,60,41.104477
-24.888453,60,41.229058
-23.816382,60,41.3518
-18.295964,60,41.485272
-19.286262,60,41.630315
-29.112012,60,41.787759
8.338744,8,41.791106
1.377067,30,41.801151
-7.151177,49,41.925251
9.494972,4,41.926269
-21.269672,60,42.055596
9.174972,6,42.057592
6.973438,16,42.179074
3.315625,29,42.195472
-26.16165,60,42.318724
-27.839665,60,42.471993
-20.720846,60,42.586365
-7.062306,50,42.711529
-13.958544,60,42.851716
-27.68445,60,42.877762
4.304439,25,43.027424
-13.187883,60,43.158551
-0.905846,33,43.170562
2.329831,27,43.274425
-3.33184,47,43.291991
9.99,1,43.292994
-29.580436,60,43.448334
-1.923981,48,43.581457
-17.186977,60,43.696479
1.057763,37,43.810856
-30.0693,60,43.954041
-19.197564,60,44.118698
-20.068063,60,44.140295
-1.201203,36,44.275258
9.494972,4,44.277257
9.67,3,44.278258
-29.457897,60,44.404396
-29.810508,60,44.545241
-22.940185,60,44.69028
-24.581131,60,44.869789
9.99,1,44.869789
3.463985,36,44.883042
9.99,1,44.884097
1.963065,32,45.031717
-21.73479,60,45.223796
9.77,3,45.225819
-16.525321,60,45.356552
8.077865,15,45.364547
-17.543159,60,45.518634
-17.479485,60,45.639724
-22.925708,60,45.786995
-21.708384,60,45.961207
-3.039048,36,45.975333
-27.404903,60,46.122102
-30.57924,60,46.249715
8.32273,10,46.254715
9.436393,4,46.402805
1.018361,34,46.43352
-26.238175,60,46.645672
-19.716229,60,46.791609
-17.86996,60,46.925916
7.526232,13,46.931908
-26.507463,60,47.052658
-18.711241,60,47.189886
9.88,2,47.190882
-14.416459,60,47.315096
-29.055838,60,47.453209
-2.605477,39,47.468175
7.272073,15,47.581601
1.190072,35,47.594259
-19.948029,60,47.738422
-23.277652,60,47.869011
-20.903004,60,48.075811
-29.20598,60,48.279855
-24.21498,60,48.457284
-28.021925,60,48.614635
-25.021745,60,48.758313
7.609627,9,48.76131
-22.649051,60,48.902754
-6.335274,59,49.064023
-23.257927,60,49.250275
-21.381384,60,49.411779
9.728579,3,49.412776
-2.145355,36,49.426891
-20.631075,60,49.617118
-25.630227,60,49.772784
-20.691899,60,49.956795
-21.482188,60,50.152822
-25.306796,60,50.350827
-9.993351,54,50.46899
-20.972604,60,50.626499
-20.069337,60,50.824858
-21.804217,60,50.979243
9.508579,5,51.27213
4.246769,28,51.286483
9.45,5,51.288492
9.098579,6,51.290485
-1.979037,42,51.378473
-23.26808,60,51.475247
-26.642258,60,51.61035
-0.204021,47,51.643566
5.725934,21,51.770216
5.089864,18,51.779581
6.794146,15,51.786163
6.016984,17,51.860656
-20.918465,60,51.883074
-18.153836,60,51.96562
9.99,1,51.966342
9.99,1,51.968274
9.25,5,52.028252
-16.323675,60,52.050799
-23.87681,60,52.156422
-30.719544,60,52.289082
9.99,1,52.290055
9.99,1,52.290684
-20.892934,60,52.352058
-31.701333,60,52.440794
9.46,4,52.442831
5.064599,17,52.491998
7.641727,10,52.495994
2.94145,27,52.507791
7.384966,13,52.514799
-26.148903,60,52.572117
-20.77439,60,52.66647
-20.598983,60,52.743795
-6.949638,55,52.841513
-1.468054,30,52.921164
-6.974643,44,52.948136
-16.356652,60,53.014701
9.082129,7,53.016697
0.755474,26,53.064895
-14.902071,60,53.125639
-20.125061,60,53.188594
-20.686148,60,53.209167
-24.184704,60,53.27311
8.654972,8,53.324498
-18.1678,60,53.34401
-20.845498,60,53.407737
-22.973421,60,53.47138
5.361204,23,53.524476
5.304803,24,53.544423
-4.214522,55,53.657849
-31.862393,60,53.757589
-0.710378,43,53.827169
-10.899427,56,53.8595
1.212916,25,53.919993
-22.02583,60,54.023782
-0.911178,45,54.039023
9.23355,6,54.08107
8.297865,13,54.08683
-24.774904,60,54.154619
-21.886824,60,54.220335
9.99,1,54.221335
-11.182639,60,54.283244
-33.751818,60,54.355671
-20.093118,60,54.386498
-23.195014,60,54.480734
-29.952027,60,54.586995
-17.926928,60,54.691949
1.244548,34,54.74632
-15.602364,60,54.820079
-19.427997,60,54.877246
-20.107901,60,54.959665
-17.349011,60,55.026211
-24.37767,60,55.047943
3.675389,28,55.118423
9.99,1,55.119108
-24.590706,60,55.209019
1.155055,33,55.221155
6.47,13,55.268449
-33.815588,60,55.379282
-23.01721,60,55.407908
-17.686402,60,55.474819
9.88,2,55.476819
8.941365,7,55.526761
-30.696912,60,55.558123
-31.653264,60,55.651315
-21.605776,60,55.710528
-10.591023,60,55.7704
-22.776734,60,55.8522
5.619174,29,55.939175
7.763161,13,55.946028
-27.834669,60,56.040939
9.728579,3,56.042943
-20.573325,60,56.13274
-14.580294,60,56.194311
-26.161413,60,56.255395
-24.489121,60,56.316041
4.94897,20,56.32882
-26.344376,60,56.402767
9.082129,7,56.40476
-17.221182,60,56.485531
4.217477,32,56.496677
9.88,2,56.496677
-5.234352,45,56.561168
-23.211938,60,56.651278
5.87004,22,56.659474
-27.414211,60,56.748944
0.277604,42,56.889107
8.264151,10,56.896172
3.408671,34,56.989981
9.357157,6,56.992979
-10.045947,52,57.076966
-4.389376,36,57.098525
-29.041191,60,57.186034
-25.338634,60,57.286048
-12.774103,60,57.370255
7.363161,13,57.376218
-18.755178,60,57.448837
-27.476636,60,57.564037
-18.860677,60,57.654824
5.290085,21,57.663827
-26.67767,60,57.74987
-18.670404,60,57.830621
9.728579,3,57.83162
-23.257936,60,57.911655
-19.776741,60,57.97534
9.494972,4,58.138642
-26.929519,60,58.164763
-2.036214,35,58.232665
-30.974706,60,58.292357
-21.72294,60,58.380635
-19.12229,60,58.443377
-23.529689,60,58.519952
7.994916,11,58.524949
1.910396,20,58.53095
-26.440119,60,58.58779
-15.882974,60,58.643751
-17.632597,60,58.715663
6.876398,14,58.724482
-25.513056,60,58.809719
-1.937052,41,58.874513
-24.832494,60,58.975578
-3.72102,48,59.043472
9.088579,7,59.054627
6.26773,15,59.072656
-22.388083,60,59.183092
6.500662,14,59.191327
3.712553,29,59.280762
-20.996696,60,59.316493
9.494972,4,59.362994
-24.167774,60,59.388921
-16.364609,60,59.444623
-1.763114,42,59.503765
-12.026564,54,59.562718
-21.142691,60,59.623912
-22.278853,60,59.697187
-29.165541,60,59.774525
9.728579,3,59.776525
-20.150067,60,59.844545
-33.265773,60,59.901771
-41.452082,60,59.966285
-2.877158,51,59.983616
-27.057973,60,60.047646
9.298579,6,60.050645
-25.421274,60,60.116378
-7.199225,54,60.180546
-19.608424,60,60.246282
-23.371103,60,60.30396
9.88,2,60.30396
9.67,3,60.306084
-1.946661,39,60.359046
0.455885,38,60.373168
-17.207169,60,60.448549
-23.366946,60,60.518716
-11.447996,60,60.590338
9.618579,4,60.592396
-18.694677,60,60.721817
1.692562,27,60.807287
3.023025,27,60.820184
-16.915844,60,60.892167
9.728579,3,60.895236
8.614315,12,60.903212
-27.187019,60,60.975051
1.063239,34,61.027161
5.295477,18,61.034623
-30.840515,60,61.102539
-21.215982,60,61.166422
-15.932133,60,61.221661
1.490051,36,61.2345
-4.227179,51,61.285342
-19.684589,60,61.341653
7.742384,10,61.345828
3.040824,28,61.409243
-17.94778,60,61.490652
-1.50274,31,61.50488
-31.212666,60,61.589332
-23.743222,60,61.650122
-25.912396,60,61.714081
-26.944027,60,61.772205
-19.167945,60,61.826719
7.072771,12,61.830719
7.517702,14,61.836276
5.408397,19,61.843278
-26.716516,60,61.914612
-23.750159,60,61.980959
-23.665901,60,62.052864
-24.056125,60,62.139386
8.48355,11,62.146388
-6.164198,56,62.227554
-15.689309,60,62.301817
1.559739,34,62.358782
9.99,1,62.359854
7.292952,12,62.363841
-1.539308,30,62.375819
7.138573,20,62.424935
-19.156836,60,62.493402
-17.221159,60,62.550876
-25.151599,60,62.574015
-23.157726,60,62.644506
-23.313511,60,62.713699
8.230109,10,62.766606
8.968522,6,62.769609
9.618579,4,62.770243
8.382837,8,62.773424
1.024531,30,62.786112
2.688714,25,62.837772
-18.593727,60,62.918782
0.940415,38,62.930733
-15.502864,60,62.999146
-17.10335,58,63.070761
-22.963678,60,63.139096
-1.677973,38,63.195717
-3.501948,42,63.212826
-10.840835,60,63.272953
-15.377072,60,63.344644
-18.861163,60,63.401645
-17.616806,60,63.460808
1.383864,41,63.523597
8.90355,9,63.526628
-23.281285,60,63.586627
-16.633785,60,63.647662
1.475322,45,63.665606
-2.746092,47,63.746678
-13.410177,60,63.818939
8.734315,10,64.015118
3.659159,29,64.029191
0.907802,47,64.146479
-29.005245,60,64.250324
9.577157,4,64.252461
7.997809,10,64.256455
-20.553126,60,64.385517
9.728579,3,64.388493
-18.363017,60,64.531624
9.99,1,64.531624
-16.049792,60,64.674582
-24.820895,60,64.798108
-29.19994,60,64.953611
9.99,1,64.954613
9.88,2,64.954613
-19.596153,60,65.074865
-23.774109,60,65.18469
-25.819364,60,65.42779
-22.268764,60,65.58249
1.794865,30,65.59743
-29.36918,60,65.725687
-20.446072,60,65.854417
-16.208883,60,65.987186
9.728579,3,65.988181
-25.646646,60,66.2081
-5.973144,51,66.398047
-20.313274,60,66.538422
-21.132396,60,66.572344
7.27924,12,66.674386
-28.171184,60,66.803028
-17.059878,60,66.939304
-24.784201,60,66.962387
2.958692,18,67.06709
9.34355,5,67.070212
-23.645626,60,67.206297
-16.891016,60,67.316441
-31.454127,60,67.439148
9.082129,7,67.441163
-18.6,60,67.563356
9.88,2,67.564004
-17.253761,60,67.696676
-5.595781,51,67.714675
-0.150942,30,67.819241
0.073858,50,67.910306
-21.198116,60,68.010322
-18.776221,60,68.148697
-24.957969,60,68.263298
8.875736,10,68.266301
6.914859,16,68.272329
-36.011588,60,68.429203
7.260053,14,68.435164
-25.976004,60,68.535835
-5.731372,59,68.640917
-4.411347,56,68.756838
-30.332224,60,68.862674
-23.989304,60,68.963268
-19.012773,60,69.062305
-16.377697,60,69.170643
-20.965342,60,69.304711
-20.870839,60,69.330142
-1.580483,43,69.452087
6.457702,20,69.459084
-18.798353,60,69.593962
9.164315,7,69.596966
-12.06997,51,69.741128
9.67,3,69.742126
-7.584502,53,69.844401
-15.019592,60,69.962622
-29.465111,60,70.080336
1.974255,40,70.217582
-19.875482,60,70.319703
-25.386686,60,70.463531
9.494972,4,70.467524
-22.333693,60,70.593188
3.400337,20,70.603317
-26.586021,60,70.721809
5.362159,20,70.729488
7.960708,15,70.73505
9.577157,4,70.736049
1.120134,35,70.86058
-26.672437,60,70.998961
-24.010796,60,71.121451
-1.601971,44,71.162617
-20.007065,60,71.296773
-19.371163,60,71.417907
-21.20212,60,71.535719
8.731365,8,71.538703
-29.224775,60,71.663521
-2.941058,42,71.766494
1.496389,30,71.776799
-24.444962,60,71.88456
-3.783381,44,71.992689
1.971638,35,72.110826
5.540315,18,72.116824
-20.079034,60,72.23481
-14.683413,55,72.436727
-19.027257,60,72.606439
-18.270505,60,72.815455
-18.013979,60,72.976326
-27.421925,60,73.037228
-5.754185,53,73.1889
9.284972,5,73.1909
5.403825,18,73.320402
0.065782,49,73.344121
-3.068697,40,73.480007
-12.40537,57,73.709031
4.754622,21,73.716036
-17.471588,60,73.851368
-21.010348,60,73.981913
7.007463,11,73.986668
-15.940862,60,74.107859
-14.730177,59,74.229556
-22.065003,60,74.366148
8.944315,9,74.369174
-22.752445,60,74.585553
-1.864568,38,74.725027
2.532557,30,74.738757
9.99,1,74.923628
7.27366,15,74.933456
-5.859333,41,74.952315
5.361556,18,75.014515
-30.526947,60,75.094481
-26.966357,60,75.166413
-28.358629,60,75.215989
-27.626692,60,75.319999
8.83,7,75.383518
-28.359623,60,75.410649
1.294394,34,75.549946
-22.198604,60,75.642868
6.981252,17,75.658371
4.321268,18,75.671413
-0.576222,44,75.756385
-16.206433,60,75.830357
-18.908128,60,75.901067
7.647101,14,75.90708
7.545845,16,75.973816
-22.671691,60,75.999414
7.402129,15,76.066287
6.979895,13,76.07339
4.183152,24,76.088128
-14.066342,60,76.211844
9.77,3,76.213856
-1.600589,39,76.277283
-21.397601,60,76.365069
2.669933,28,76.374105
8.644972,9,76.378103
0.927375,35,76.468875
0.237556,40,76.570171
6.878418,16,76.57817
-14.526452,60,76.650223
8.669286,10,76.654158
6.570331,15,76.660232
-27.160957,60,76.736107
7.719994,16,76.741737
-25.665375,60,76.831461
-6.037047,42,76.910687
-6.765579,38,76.924185
