#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-27.4,20,7.791833
-25.7,20,7.800146
-28.9,21,7.815449
-30.35,20,7.821622
-28.0,21,7.829646
-28.2,21,7.84281
-27.6,21,7.851109
-26.9,21,7.860798
-26.25,21,7.874206
-27.7,22,7.88307
-26.1,20,7.889892
-26.0,21,7.905349
-24.8,20,7.912355
-30.4,23,7.921649
-27.7,21,7.936565
-26.25,21,7.944731
-28.2,21,7.952368
-28.2,21,7.96692
-27.15,21,7.974516
-26.6,22,7.98457
-25.0,20,8.001338
-25.6,21,8.00834
-24.6,20,8.016176
-26.55,20,8.032025
-27.8,21,8.039162
-28.0,23,8.048152
-28.35,22,8.067944
-26.1,20,8.075636
-27.25,22,8.084211
-25.25,20,8.102312
-26.8,20,8.109222
-28.05,22,8.117957
-25.7,20,8.132977
-29.95,24,8.141878
-27.85,20,8.149839
-25.2,20,8.166454
-24.85,20,8.173663
-27.6,21,8.181535
-27.35,21,8.199309
-27.85,22,8.207351
-24.8,20,8.215393
-26.35,20,8.232019
-31.45,26,8.242144
-26.9,21,8.253631
-27.8,21,8.271423
-26.65,21,8.27951
-30.05,21,8.287514
-28.2,21,8.302634
-27.0,20,8.311049
-26.6,20,8.317516
-26.55,20,8.324471
-25.45,20,8.338811
-26.05,20,8.347314
-29.35,22,8.355494
-28.8,22,8.371027
-29.25,24,8.38011
-27.95,22,8.396429
-25.65,20,8.405154
-27.4,20,8.413538
-26.45,22,8.423305
-26.1,20,8.438293
-26.5,20,8.446223
-29.2,22,8.454247
-27.45,22,8.470586
-25.0,20,8.477542
-25.2,20,8.48559
-26.95,21,8.50302
-24.4,20,8.510109
-24.8,20,8.517762
-27.9,22,8.535866
-27.1,21,8.543754
-28.1,20,8.551945
-26.45,21,8.567185
-28.85,21,8.575186
-25.05,20,8.583141
-26.0,21,8.597711
-25.9,20,8.605839
-24.8,20,8.613837
-24.85,20,8.633624
-29.6,20,8.642623
-25.7,20,8.650747
-29.05,21,8.667408
-25.65,20,8.6754
-27.6,20,8.682408
-26.65,21,8.698505
-28.2,23,8.706649
-25.9,20,8.71458
-26.35,20,8.722199
-25.0,20,8.738291
-25.0,20,8.746279
-27.75,20,8.760488
-28.2,21,8.784209
-27.85,20,8.792203
-25.3,20,8.799204
-26.8,22,8.815003
-25.2,20,8.823185
-25.1,20,8.830182
-25.8,21,8.847456
-25.25,20,8.854798
-26.3,20,8.863795
-25.2,20,8.883472
-26.75,20,8.890477
-24.85,20,8.897471
-25.4,20,8.91259
-24.4,20,8.920901
-26.05,20,8.928078
-27.95,21,8.946485
-25.6,21,8.955413
-26.25,21,8.962587
-25.65,20,8.969441
-29.25,22,8.986576
-28.3,22,8.994575
-24.8,20,9.002024
-28.25,21,9.018558
-27.05,21,9.025558
-25.0,20,9.032651
-27.05,20,9.048645
-25.2,20,9.05581
-24.8,20,9.063095
-25.45,20,9.077784
-27.95,21,9.085644
-29.95,24,9.09373
-27.3,21,9.107777
-24.6,20,9.115462
-26.5,20,9.123041
-27.1,21,9.137801
-26.7,21,9.144806
-26.7,20,9.151973
-27.45,20,9.165164
-25.3,20,9.174385
-25.45,20,9.181379
-27.95,22,9.196825
-25.0,20,9.203957
-26.05,21,9.210947
-25.45,20,9.22532
-25.25,20,9.233392
-29.05,21,9.240392
-26.15,20,9.254666
-25.05,20,9.262578
-26.35,20,9.269122
-25.85,21,9.278111
-25.05,20,9.298287
-25.9,20,9.305412
-25.2,20,9.313405
-25.65,20,9.327428
-29.5,22,9.335592
-26.9,21,9.342589
-24.6,20,9.358368
-25.65,20,9.366216
-26.55,20,9.37253
-28.1,22,9.388697
-29.65,20,9.396382
-25.65,20,9.403605
-25.05,20,9.420846
-25.3,20,9.428831
-26.05,21,9.436843
-26.15,20,9.455148
-26.75,20,9.462147
-25.6,21,9.469821
-26.55,20,9.483959
-25.2,20,9.492093
-24.6,20,9.500358
-27.25,20,9.507357
-27.95,21,9.522444
-25.6,21,9.530317
-25.95,20,9.53733
-26.7,20,9.551847
-30.05,23,9.559758
-28.45,20,9.566311
-24.85,20,9.581255
-26.95,21,9.58831
-25.65,20,9.595272
-25.85,20,9.610507
-25.9,20,9.618323
-27.35,21,9.625828
-25.2,21,9.641526
-27.1,21,9.648534
-27.25,22,9.656641
-25.2,20,9.671394
-24.6,20,9.679392
-25.25,20,9.68695
-25.0,20,9.703904
-26.1,20,9.710901
-26.25,21,9.719554
-28.6,22,9.734592
-25.8,21,9.7416
-24.8,20,9.748597
-28.1,22,9.763296
-25.8,21,9.772033
-26.55,20,9.780066
-25.65,20,9.787065
-26.3,20,9.803437
-24.6,20,9.810457
-27.1,21,9.818206
-26.75,20,9.83344
-26.05,20,9.841002
-25.7,20,9.848976
-26.1,20,9.863146
-25.9,20,9.871081
-26.55,20,9.878982
-25.18,17,9.893083
-27.2,20,9.901108
-28.5,23,9.909191
-25.0,20,9.922922
-27.35,21,9.931843
-26.8,22,9.939942
-29.75,22,9.964135
-26.7,21,9.971603
-27.4,20,9.978466
-28.5,20,9.997873
-25.45,20,10.005034
-25.25,20,10.01303
-24.8,20,10.020515
-26.55,20,10.038041
-24.4,20,10.04694
-26.55,20,10.054671
-26.8,22,10.073408
-25.4,20,10.081414
-26.45,21,10.089953
-25.4,20,10.105484
-25.8,21,10.113484
-25.45,20,10.124456
-27.05,20,10.142332
-25.45,20,10.153119
-28.85,21,10.163495
-25.25,20,10.189571
-25.85,20,10.209301
-24.4,20,10.225053
-26.5,20,10.244181
-25.95,20,10.252318
-26.3,20,10.25932
-26.3,20,10.266754
-24.4,20,10.282561
-26.55,20,10.293541
-25.6,20,10.300663
-29.55,21,10.32116
-25.85,20,10.328204
-26.55,20,10.336349
-25.2,20,10.352184
-25.25,20,10.360197
-27.55,21,10.367753
-27.3,21,10.383996
-28.2,21,10.391994
-25.5,20,10.39998
-24.58,16,10.417493
-26.85,21,10.425501
-25.25,20,10.432498
-28.7,23,10.450923
-25.2,20,10.458048
